word,prob,freq,plural
loess,33.15268368942157,,Plural
loose,33.15268368942157,24139.0,
sloes,33.15268368942157,,Plural
totes,33.14920965780789,,Plural
narcs,33.1422615945805,,Plural
lives,33.135313531353134,,Plural
veils,33.135313531353134,,Plural
evils,33.135313531353134,,Plural
levis,33.135313531353134,,Plural
reels,33.135313531353134,,Plural
leers,33.135313531353134,,Plural
terse,33.13183949973945,,
steer,33.13183949973945,,
reset,33.13183949973945,,
ester,33.13183949973945,,
tress,33.13183949973945,,Plural
trees,33.13183949973945,,Plural
rests,33.13183949973945,,Plural
glare,33.11446934167101,,
regal,33.11446934167101,,
large,33.11446934167101,353703.0,
lager,33.11446934167101,,
tours,33.114469341671004,,Plural
roust,33.114469341671004,,
routs,33.114469341671004,,Plural
torus,33.114469341671004,,Plural
grate,33.110995310057326,,
great,33.110995310057326,696589.0,
bides,33.107521278443635,,Plural
shute,33.10752127844363,,
savor,33.086677088761505,,
debts,33.08320305714782,,Plural
haves,33.07972902553413,,Plural
shave,33.07972902553413,,
ocean,33.07625499392044,47773.0,
canoe,33.07625499392044,,
greys,33.06235886746569,,Plural
cokes,33.06235886746569,,Plural
carne,33.058884835852005,,
crane,33.058884835852005,,
caner,33.058884835852005,,
talcs,33.058884835852005,,Plural
skein,33.05541080423831,,
lapis,33.05193677262463,,Plural
pails,33.05193677262463,,Plural
tapis,33.048462741010944,,Plural
pitas,33.048462741010944,,Plural
berms,33.03804064616988,,Plural
route,33.031092582942506,40816.0,
utero,33.031092582942506,,
outer,33.031092582942506,15390.0,
spoke,33.0310925829425,,
pokes,33.0310925829425,,Plural
paren,33.027618551328814,,
plats,33.027618551328814,,Plural
splat,33.027618551328814,,
perks,33.01372242487407,,Plural
eclat,32.9755080771235,,
cleat,32.9755080771235,,
wakes,32.97203404550981,,Plural
askew,32.97203404550981,,
pieta,32.96508598228244,,
gelds,32.96161195066875,,Plural
pleat,32.94424179260031,,
leapt,32.94424179260031,,
plate,32.94424179260031,50934.0,
petal,32.94424179260031,,
lepta,32.94424179260031,,
herbs,32.93729372937293,,Plural
fines,32.93381969775925,,Plural
skoal,32.92687163453187,,
yipes,32.91644953969081,,Plural
germs,32.912975508077125,,Plural
larks,32.90950147646343,,Plural
stark,32.90602744484974,,
yelps,32.89560535000868,,Plural
types,32.892131318394995,,Plural
spend,32.87476116032656,280371.0,
pends,32.87476116032656,,Plural
yarns,32.87128712871287,,Plural
doves,32.85044293903074,,Plural
